[2025-11-13 11:43:29] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-11-13 12:49:23] Started worker 5 for 234 emails
[2025-11-13 12:49:23] Started worker 6 for 234 emails
[2025-11-13 12:49:23] Started worker 7 for 234 emails
[2025-11-13 12:49:23] Started worker 8 for 234 emails
[2025-11-13 12:49:23] Started worker 9 for 234 emails
[2025-11-13 12:49:23] Started worker 10 for 234 emails
[2025-11-13 12:49:23] Started worker 11 for 234 emails
[2025-11-13 12:49:23] Started worker 12 for 234 emails
[2025-11-13 12:49:23] Started worker 13 for 234 emails
[2025-11-13 12:49:23] Started worker 14 for 234 emails
[2025-11-13 12:49:23] Started worker 15 for 234 emails
[2025-11-13 12:49:23] Started worker 16 for 234 emails
[2025-11-13 12:49:23] Started worker 17 for 234 emails
[2025-11-13 12:49:23] Started worker 18 for 234 emails
[2025-11-13 12:49:23] Started worker 19 for 234 emails
[2025-11-13 12:49:23] Started worker 20 for 234 emails
[2025-11-13 12:49:23] Started worker 21 for 234 emails
[2025-11-13 12:49:23] Started worker 22 for 234 emails
[2025-11-13 12:49:23] Started worker 23 for 234 emails
[2025-11-13 12:49:23] Started worker 24 for 234 emails
[2025-11-13 12:49:23] Started worker 25 for 234 emails
[2025-11-13 12:49:23] Started worker 26 for 234 emails
[2025-11-13 12:49:23] Started worker 27 for 234 emails
[2025-11-13 12:49:23] Started worker 28 for 234 emails
[2025-11-13 12:49:23] Started worker 29 for 234 emails
[2025-11-13 12:49:23] Started worker 30 for 234 emails
[2025-11-13 12:49:23] Started worker 31 for 234 emails
[2025-11-13 12:49:23] Started worker 32 for 234 emails
[2025-11-13 12:49:23] Started worker 33 for 234 emails
[2025-11-13 12:49:23] Started worker 34 for 234 emails
[2025-11-13 12:49:23] Started worker 35 for 234 emails
[2025-11-13 12:49:23] Started worker 36 for 234 emails
[2025-11-13 12:49:23] Started worker 37 for 234 emails
[2025-11-13 12:49:23] Started worker 38 for 234 emails
[2025-11-13 12:49:23] Started worker 39 for 234 emails
[2025-11-13 12:49:23] Started worker 40 for 234 emails
[2025-11-13 12:49:23] Started worker 41 for 234 emails
[2025-11-13 12:49:23] Started worker 42 for 234 emails
[2025-11-13 12:49:23] Started worker 43 for 234 emails
[2025-11-13 12:49:23] Started worker 44 for 234 emails
[2025-11-13 12:49:23] Started worker 45 for 234 emails
[2025-11-13 12:49:23] Started worker 46 for 234 emails
[2025-11-13 12:49:23] Started worker 47 for 234 emails
[2025-11-13 12:49:23] Started worker 48 for 234 emails
[2025-11-13 12:49:23] Started worker 49 for 234 emails
[2025-11-13 12:49:23] Started worker 50 for 234 emails
[2025-11-13 12:49:23] Started worker 51 for 234 emails
[2025-11-13 12:49:23] Started worker 52 for 234 emails
[2025-11-13 12:49:23] Started worker 53 for 234 emails
[2025-11-13 12:49:23] Started worker 54 for 234 emails
[2025-11-13 12:49:23] Started worker 55 for 234 emails
[2025-11-13 12:49:23] Started worker 56 for 234 emails
[2025-11-13 12:49:23] Started worker 57 for 234 emails
[2025-11-13 12:49:23] Started worker 58 for 234 emails
[2025-11-13 12:49:23] Started worker 59 for 234 emails
[2025-11-13 12:49:23] Started worker 60 for 234 emails
[2025-11-13 12:49:23] Started worker 61 for 234 emails
[2025-11-13 12:49:23] Started worker 62 for 234 emails
[2025-11-13 12:49:23] Started worker 63 for 234 emails
[2025-11-13 12:49:23] Started worker 64 for 234 emails
[2025-11-13 12:49:23] Started worker 65 for 234 emails
[2025-11-13 12:49:23] Started worker 66 for 234 emails
[2025-11-13 12:49:23] Started worker 67 for 234 emails
[2025-11-13 12:49:23] Started worker 68 for 234 emails
[2025-11-13 12:49:23] Started worker 69 for 234 emails
[2025-11-13 12:49:23] Started worker 70 for 234 emails
[2025-11-13 12:49:23] Started worker 71 for 234 emails
[2025-11-13 12:49:23] Started worker 72 for 234 emails
[2025-11-13 12:49:23] Started worker 73 for 234 emails
[2025-11-13 12:49:23] Started worker 74 for 234 emails
[2025-11-13 12:49:23] Started worker 75 for 234 emails
[2025-11-13 12:49:23] Started worker 76 for 234 emails
[2025-11-13 12:49:23] Started worker 77 for 234 emails
[2025-11-13 12:49:23] Started worker 78 for 234 emails
[2025-11-13 12:49:23] Started worker 79 for 234 emails
[2025-11-13 12:49:23] Started worker 80 for 234 emails
[2025-11-13 12:49:23] Started worker 81 for 234 emails
[2025-11-13 12:49:23] Started worker 82 for 234 emails
[2025-11-13 12:49:23] Started worker 83 for 234 emails
[2025-11-13 12:49:23] Started worker 84 for 234 emails
[2025-11-13 12:49:23] Started worker 85 for 234 emails
[2025-11-13 12:49:23] Started worker 86 for 234 emails
[2025-11-13 12:49:23] Started worker 87 for 234 emails
[2025-11-13 12:49:23] Started worker 88 for 234 emails
[2025-11-13 12:49:23] Started worker 89 for 234 emails
[2025-11-13 12:49:23] Started worker 90 for 234 emails
[2025-11-13 12:49:23] Started worker 91 for 234 emails
[2025-11-13 12:49:23] Started worker 92 for 234 emails
[2025-11-13 12:49:23] Started worker 93 for 234 emails
[2025-11-13 12:49:23] Started worker 94 for 234 emails
[2025-11-13 12:49:23] Started worker 95 for 234 emails
[2025-11-13 12:49:23] Started worker 96 for 234 emails
[2025-11-13 12:49:24] Started worker 97 for 234 emails
[2025-11-13 12:49:24] Started worker 98 for 234 emails
[2025-11-13 12:49:24] Started worker 99 for 234 emails
[2025-11-13 12:49:24] Started worker 100 for 234 emails
[2025-11-13 12:49:24] Started worker 101 for 234 emails
[2025-11-13 12:49:24] Started worker 102 for 234 emails
[2025-11-13 12:49:24] Started worker 103 for 234 emails
[2025-11-13 12:49:24] Started worker 104 for 234 emails
[2025-11-13 12:49:24] Started worker 105 for 234 emails
[2025-11-13 12:49:24] Started worker 106 for 234 emails
[2025-11-13 12:49:24] Started worker 107 for 234 emails
[2025-11-13 12:49:24] Started worker 108 for 234 emails
[2025-11-13 12:49:24] Started worker 109 for 234 emails
[2025-11-13 12:49:24] Started worker 110 for 234 emails
[2025-11-13 12:49:24] Started worker 111 for 234 emails
[2025-11-13 12:49:24] Started worker 112 for 234 emails
[2025-11-13 12:49:24] Started worker 113 for 234 emails
[2025-11-13 12:49:24] Started worker 114 for 234 emails
[2025-11-13 12:49:24] Started worker 115 for 234 emails
[2025-11-13 12:49:24] Started worker 116 for 234 emails
[2025-11-13 12:49:24] Started worker 117 for 234 emails
[2025-11-13 12:49:24] Started worker 118 for 234 emails
[2025-11-13 12:49:24] Started worker 119 for 234 emails
[2025-11-13 12:49:24] Started worker 120 for 234 emails
[2025-11-13 12:49:24] Started worker 121 for 234 emails
[2025-11-13 12:49:24] Started worker 122 for 234 emails
[2025-11-13 12:49:24] Started worker 123 for 234 emails
[2025-11-13 12:49:24] Started worker 124 for 234 emails
[2025-11-13 12:49:24] Started worker 125 for 234 emails
[2025-11-13 12:49:24] Started worker 126 for 234 emails
[2025-11-13 12:49:24] Started worker 127 for 234 emails
[2025-11-13 12:49:24] Started worker 128 for 234 emails
[2025-11-13 12:49:24] Started worker 129 for 234 emails
[2025-11-13 12:49:24] Started worker 130 for 234 emails
[2025-11-13 12:49:24] Started worker 131 for 234 emails
[2025-11-13 12:49:24] Started worker 132 for 234 emails
[2025-11-13 12:49:24] Started worker 133 for 234 emails
[2025-11-13 12:49:24] Started worker 134 for 234 emails
[2025-11-13 12:49:24] Started worker 135 for 234 emails
[2025-11-13 12:49:24] Started worker 136 for 234 emails
[2025-11-13 12:49:24] Started worker 137 for 234 emails
[2025-11-13 12:49:24] Started worker 138 for 234 emails
[2025-11-13 12:49:24] Started worker 139 for 234 emails
[2025-11-13 12:49:24] Started worker 140 for 234 emails
[2025-11-13 12:49:24] Started worker 141 for 234 emails
[2025-11-13 12:49:24] Started worker 142 for 234 emails
[2025-11-13 12:49:24] Started worker 143 for 234 emails
[2025-11-13 12:49:24] Started worker 144 for 234 emails
[2025-11-13 12:49:24] Started worker 145 for 234 emails
[2025-11-13 12:49:24] Started worker 146 for 234 emails
[2025-11-13 12:49:24] Started worker 147 for 234 emails
[2025-11-13 12:49:24] Started worker 148 for 234 emails
[2025-11-13 12:49:24] Started worker 149 for 234 emails
[2025-11-13 12:49:24] Started worker 150 for 234 emails
[2025-11-13 12:49:24] Started worker 151 for 234 emails
[2025-11-13 12:49:24] Started worker 152 for 234 emails
[2025-11-13 12:49:24] Started worker 153 for 234 emails
[2025-11-13 12:49:24] Started worker 154 for 234 emails
[2025-11-13 12:49:24] Started worker 155 for 234 emails
[2025-11-13 12:49:24] Started worker 156 for 234 emails
[2025-11-13 12:49:24] Started worker 157 for 234 emails
[2025-11-13 12:49:24] Started worker 158 for 234 emails
[2025-11-13 12:49:24] Started worker 159 for 234 emails
[2025-11-13 12:49:24] Started worker 160 for 234 emails
[2025-11-13 12:49:24] Started worker 161 for 234 emails
[2025-11-13 12:49:24] Started worker 162 for 234 emails
[2025-11-13 12:49:24] Started worker 163 for 234 emails
[2025-11-13 12:49:24] Started worker 164 for 234 emails
[2025-11-13 12:49:24] Started worker 165 for 234 emails
[2025-11-13 12:49:24] Started worker 166 for 234 emails
[2025-11-13 12:49:24] Started worker 167 for 234 emails
[2025-11-13 12:49:24] Started worker 168 for 234 emails
[2025-11-13 12:49:24] Started worker 169 for 234 emails
[2025-11-13 12:49:25] Started worker 170 for 234 emails
[2025-11-13 12:49:25] Started worker 171 for 234 emails
[2025-11-13 12:49:25] Started worker 172 for 234 emails
[2025-11-13 12:49:25] Started worker 173 for 234 emails
[2025-11-13 12:49:25] Started worker 174 for 234 emails
[2025-11-13 12:49:25] Started worker 175 for 234 emails
[2025-11-13 12:49:25] Started worker 176 for 234 emails
[2025-11-13 12:49:25] Started worker 177 for 234 emails
[2025-11-13 12:49:25] Started worker 178 for 234 emails
[2025-11-13 12:49:25] Started worker 179 for 234 emails
[2025-11-13 12:49:25] Started worker 180 for 234 emails
[2025-11-13 12:49:25] Started worker 181 for 234 emails
[2025-11-13 12:49:25] Started worker 182 for 234 emails
[2025-11-13 12:49:25] Started worker 183 for 234 emails
[2025-11-13 12:49:25] Started worker 184 for 234 emails
[2025-11-13 12:49:25] Started worker 185 for 234 emails
[2025-11-13 12:49:25] Started worker 186 for 234 emails
[2025-11-13 12:49:25] Started worker 187 for 234 emails
[2025-11-13 12:49:25] Started worker 188 for 234 emails
[2025-11-13 12:49:25] Started worker 189 for 234 emails
[2025-11-13 12:49:25] Started worker 190 for 234 emails
[2025-11-13 12:49:25] Started worker 191 for 234 emails
[2025-11-13 12:49:25] Started worker 192 for 234 emails
[2025-11-13 12:49:25] Started worker 193 for 234 emails
[2025-11-13 12:49:25] Started worker 194 for 234 emails
[2025-11-13 12:49:25] Started worker 195 for 234 emails
[2025-11-13 12:49:25] Started worker 196 for 234 emails
[2025-11-13 12:49:25] Started worker 197 for 234 emails
[2025-11-13 12:49:25] Started worker 198 for 234 emails
[2025-11-13 12:49:25] Started worker 199 for 233 emails
[2025-11-13 12:49:42] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-11-13 12:49:42] Started worker 0 for 231 emails
[2025-11-13 12:49:42] Started worker 1 for 231 emails
[2025-11-13 12:49:42] Started worker 2 for 231 emails
[2025-11-13 12:49:42] Started worker 3 for 231 emails
[2025-11-13 12:49:42] Started worker 4 for 231 emails
[2025-11-13 12:49:42] Started worker 5 for 231 emails
[2025-11-13 12:49:42] Started worker 6 for 231 emails
[2025-11-13 12:49:42] Started worker 7 for 231 emails
[2025-11-13 12:49:42] Started worker 8 for 231 emails
[2025-11-13 12:49:42] Started worker 9 for 231 emails
[2025-11-13 12:49:42] Started worker 10 for 231 emails
[2025-11-13 12:49:42] Started worker 11 for 231 emails
[2025-11-13 12:49:42] Started worker 12 for 231 emails
[2025-11-13 12:49:42] Started worker 13 for 231 emails
